locationType,location,major,minor,occupation,ethnicity,total,median,mean
Region,Gisborne Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,18,26300,27800
Region,Gisborne Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,48,18000,20300
Region,Gisborne Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,6,22400,25000
Region,Gisborne Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,6,39700,41400
Region,Gisborne Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Gisborne Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,15,32300,50000
Region,Hawke's Bay Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,15,22400,26800
Region,Hawke's Bay Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,42,38600,36300
Region,Hawke's Bay Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,12,38200,42100
Region,Hawke's Bay Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,9,36900,28000
Region,Hawke's Bay Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,9,18300,20200
Region,Hawke's Bay Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,18,11400,11300
Region,Hawke's Bay Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,9,13300,16900
Region,Hawke's Bay Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,6,50200,54900
Region,Hawke's Bay Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,30,34700,35800
Region,Hawke's Bay Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,144,17500,19100
Region,Hawke's Bay Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,15,16900,16200
Region,Hawke's Bay Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,33,26900,24800
Region,Hawke's Bay Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,6,38600,46900
Region,Hawke's Bay Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,42,41700,37100
Region,Hawke's Bay Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,9,6100,11600
Region,Hawke's Bay Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,18,32200,35700
Region,Hawke's Bay Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Hawke's Bay Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,6,32300,34900
Region,Taranaki Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,"Business, Human Resource and Marketing Professionals",Accountant (General),Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,"Design, Engineering, Science and Transport Professionals",Aeroplane Pilot,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,Education Professionals,Early Childhood (Pre-primary School) Teacher,Pacific Peoples,15,29800,30300
Region,Taranaki Region,Professionals,Health Professionals,Dietitian,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,ICT Professionals,ICT Business Analyst,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Professionals,"Legal, Social and Welfare Professionals",Barrister,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,"Engineering, ICT and Science Technicians",Agricultural Technician,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Automotive Electrician,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,Construction Trades Workers,Bricklayer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrician (General),Pacific Peoples,12,42600,45600
Region,Taranaki Region,Technicians and Trades Workers,Food Trades Workers,Baker,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Dog Handler or Trainer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Technicians and Trades Workers,Other Technicians and Trades Workers,Hairdresser,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Community and Personal Service Workers,Health and Welfare Support Workers,Ambulance Officer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Community and Personal Service Workers,Carers and Aides,Child Care Worker,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Community and Personal Service Workers,Hospitality Workers,Bar Attendant,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Community and Personal Service Workers,Protective Service Workers,Defence Force Member - Other Ranks,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Community and Personal Service Workers,Sports and Personal Service Workers,Beauty Therapist,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Office Managers and Program Administrators,Contract Administrator,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Personal Assistants and Secretaries,Personal Assistant,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,General Clerical Workers,General Clerk,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Inquiry Clerks and Receptionists,Call or Contact Centre Team Leader,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Numerical Clerks,Accounts Clerk,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Clerical and Office Support Workers,Betting Agency Counter Clerk,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Code retired,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Sales Workers,Sales Representatives and Agents,Auctioneer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Sales Workers,Sales Assistants and Salespersons,Sales Assistant (General),Pacific Peoples,30,22900,21000
Region,Taranaki Region,Sales Workers,Sales Support Workers,Checkout Operator,Pacific Peoples,6,12600,11500
Region,Taranaki Region,Machinery Operators and Drivers,Machine and Stationary Plant Operators,Clay Products Machine Operator,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Machinery Operators and Drivers,Mobile Plant Operators,Agricultural and Horticultural Mobile Plant Operator,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Machinery Operators and Drivers,Road and Rail Drivers,Chauffeur,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Machinery Operators and Drivers,Storepersons,Storeperson,Pacific Peoples,15,36900,38900
Region,Taranaki Region,Labourers,Cleaners and Laundry Workers,Car Detailer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Labourers,Construction and Mining Labourers,Builder's Labourer,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Labourers,Factory Process Workers,Baking Factory Worker,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Labourers,"Farm, Forestry and Garden Workers",Aquaculture Worker,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Labourers,Food Preparation Assistants,Fast Food Cook,Pacific Peoples,NA,..C,..C
Region,Taranaki Region,Labourers,Other Labourers,Freight Handler (Rail or Road),Pacific Peoples,NA,..C,..C
Region,Manawatu-Wanganui Region,Managers,"Chief Executives, General Managers and Legislators",Chief Executive or Managing Director,Pacific Peoples,12,50800,54300
Region,Manawatu-Wanganui Region,Managers,Farmers and Farm Managers,Aquaculture Farmer,Pacific Peoples,NA,..C,..C
Region,Manawatu-Wanganui Region,Managers,Specialist Managers,Code retired,Pacific Peoples,NA,..C,..C
Region,Manawatu-Wanganui Region,Managers,"Hospitality, Retail and Service Managers",Cafe or Restaurant Manager,Pacific Peoples,9,38000,39700
Region,Manawatu-Wanganui Region,Professionals,Arts and Media Professionals,Actor,Pacific Peoples,NA,..C,..C
